band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,76175.0,0,75.0,27.0,289.91904,318.0,108.43495,2.263636,330.5943,0.0,0.0,10.0,111.0,5.382787,0.0,-3.4028235e+38,0.48928323,5.0,2.3063328,0.18562992,False
1,76835.0,78675.0,0,35.0,1.0,289.5464,279.0,45.0,9.039936,295.8567,0.0,67.0,80.0,313.0,5.3690944,0.0,-3.4028235e+38,0.71191025,8.0,2.420604,0.17698012,False
1,76835.0,76015.0,0,75.0,27.0,289.81122,314.0,161.56505,2.263636,329.17358,0.0,0.0,10.0,111.0,5.360692,0.0,-3.4028235e+38,0.45622632,5.0,2.2788177,0.22168222,False
1,76835.0,77915.0,0,35.0,18.0,286.87326,338.0,71.56505,2.263636,339.22968,0.0,0.0,92.0,210.0,5.398875,0.0,-3.4028235e+38,0.07346789,3.0,2.1567612,0.23622316,False
1,76835.0,74625.0,0,61.0,10.0,290.35028,260.0,297.1213,29.933966,277.709,0.0,65.0,70.0,313.0,5.4825306,0.0,-3.4028235e+38,0.74184054,5.0,1.8633405,0.23073341,False
1,76835.0,74055.0,0,61.0,14.0,291.19598,270.0,297.47443,19.403542,288.53366,0.0,76.0,70.0,313.0,6.0564404,0.0,1.0,0.7046514,5.0,2.1262496,0.17126046,False
1,76835.0,71015.0,0,0.0,0.0,290.96014,291.0,83.659805,6.4579544,292.08072,0.0,0.0,20.0,0.0,5.4875183,0.0,-3.4028235e+38,0.09919095,8.0,2.332827,0.20300286,False
1,76835.0,78615.0,0,35.0,1.0,289.35013,288.0,69.77514,14.203597,288.4019,0.0,0.0,91.0,220.0,5.3503995,0.0,-3.4028235e+38,0.298841,5.0,2.3758447,0.20572732,False
1,76835.0,78015.0,0,35.0,18.0,286.7822,337.0,-9999.0,0.0,337.6762,0.0,0.0,91.0,234.0,5.384694,0.0,-3.4028235e+38,0.10471848,3.0,2.149217,0.20458007,False
1,76835.0,77195.0,0,35.0,18.0,290.03833,284.0,202.38013,24.68443,297.13245,0.0,84.0,70.0,313.0,5.458964,0.0,-3.4028235e+38,0.5921402,5.0,2.53058,0.19237782,False
1,76835.0,75825.0,0,75.0,26.0,289.95737,311.0,-9999.0,0.0,312.21408,0.0,0.0,20.0,650.0,5.3336563,0.0,-3.4028235e+38,0.06736938,5.0,2.3231602,0.21175589,False
1,76835.0,75515.0,0,75.0,26.0,289.3499,307.0,225.0,1.0127505,323.58795,0.0,71.0,70.0,133.0,5.28407,0.0,-3.4028235e+38,0.7231913,5.0,2.3441844,0.1908919,False
1,76835.0,75575.0,0,75.0,26.0,288.58258,308.0,198.43495,2.263636,311.9019,0.0,73.0,20.0,133.0,5.3005843,0.0,-3.4028235e+38,0.48525542,5.0,2.3547523,0.4486288,False
1,76835.0,75345.0,0,75.0,26.0,290.09647,304.0,-9999.0,0.0,310.62146,0.0,57.0,20.0,612.0,5.2606454,0.0,-3.4028235e+38,0.73684657,5.0,2.2724733,0.2103333,False
1,76835.0,72775.0,0,61.0,11.0,291.04797,296.0,-9999.0,0.0,298.56656,0.0,0.0,20.0,111.0,5.756366,0.0,-3.4028235e+38,0.23971726,5.0,1.8979856,0.19509403,False
1,76835.0,76785.0,0,35.0,18.0,289.9134,289.0,2.385944,30.985685,305.32855,0.0,80.0,70.0,313.0,5.4498987,0.0,1.0,0.85225207,5.0,2.633949,0.20547538,False
1,76835.0,75535.0,0,75.0,26.0,288.58258,307.0,225.0,3.0357237,331.6048,0.0,70.0,70.0,133.0,5.28407,0.0,-3.4028235e+38,0.6114904,5.0,2.3441844,0.18383694,False
1,76835.0,73015.0,0,61.0,11.0,291.08762,293.0,18.434948,2.263636,295.80817,0.0,0.0,20.0,111.0,5.660048,0.0,-3.4028235e+38,0.3579169,5.0,1.9759616,0.26153597,False
1,76835.0,78655.0,0,35.0,1.0,289.5464,282.0,45.0,11.976726,296.67383,0.0,66.0,70.0,220.0,5.3690944,0.0,-3.4028235e+38,0.6824419,8.0,2.3758447,0.22667097,False
1,76835.0,75005.0,0,75.0,26.0,290.92688,296.0,261.8699,5.051152,307.70758,0.0,77.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.78834593,5.0,2.0685418,0.19164787,False
1,76835.0,76125.0,0,75.0,27.0,289.87933,318.0,135.0,3.0357237,322.7093,0.0,0.0,10.0,111.0,5.3723173,0.0,-3.4028235e+38,0.39372423,5.0,2.2819107,0.18312207,False
1,76835.0,74595.0,0,61.0,10.0,290.35028,267.0,296.56503,26.707668,274.42966,0.0,76.0,70.0,313.0,5.4825306,0.0,-3.4028235e+38,0.8197482,5.0,1.8633405,0.18480292,False
1,76835.0,75005.0,0,75.0,26.0,290.92688,296.0,261.8699,5.051152,307.70758,0.0,77.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.78834593,5.0,2.0685418,0.19164787,False
1,76835.0,74865.0,0,75.0,26.0,290.95145,291.0,161.56505,4.520228,309.5739,0.0,67.0,70.0,111.0,5.279461,0.0,-3.4028235e+38,0.7382061,5.0,1.933569,0.19029163,False
1,76835.0,77185.0,0,35.0,18.0,290.03833,280.0,201.2505,25.772654,288.35065,0.0,84.0,70.0,313.0,5.458964,0.0,-3.4028235e+38,0.6996509,5.0,2.53058,0.20254286,False
1,76835.0,73145.0,0,61.0,11.0,291.20407,287.0,333.43497,3.1996014,297.63965,0.0,0.0,10.0,111.0,5.6718855,0.0,-3.4028235e+38,0.30250642,5.0,2.0161397,0.317631,False
1,76835.0,75155.0,0,75.0,26.0,290.11823,299.0,-9999.0,0.0,316.4286,0.0,0.0,10.0,111.0,5.2557015,0.0,-3.4028235e+38,0.40320015,5.0,2.1424546,0.22587836,False
1,77495.0,72705.0,0,61.0,11.0,291.4516,290.0,249.44395,12.057194,291.68588,0.0,44.0,80.0,450.0,5.712655,0.0,-3.4028235e+38,0.6363541,5.0,1.9110409,0.16537082,False
1,77495.0,78055.0,0,35.0,9.0,290.21985,236.0,180.0,2.8624053,242.41885,0.0,0.0,10.0,113.0,5.4996176,0.0,-3.4028235e+38,0.44144467,5.0,2.1197836,0.21782337,False
1,77495.0,77915.0,0,35.0,1.0,290.22028,236.0,30.963757,4.16874,244.76672,0.0,0.0,70.0,111.0,5.512843,0.0,-3.4028235e+38,0.46959537,5.0,2.086064,0.17162353,False
1,77495.0,73055.0,0,61.0,4.0,291.13718,284.0,-9999.0,0.0,292.7827,0.0,0.0,10.0,620.0,5.9868493,0.0,-3.4028235e+38,0.18788917,5.0,1.9567188,0.21474458,False
1,77495.0,76245.0,0,75.0,20.0,289.4331,255.0,108.43495,4.520228,257.45325,0.0,0.0,20.0,620.0,5.2974567,0.0,-3.4028235e+38,0.19496597,5.0,2.1639612,0.17028114,False
1,77495.0,74315.0,0,75.0,10.0,290.53247,289.0,-9999.0,0.0,307.015,0.0,0.0,10.0,111.0,5.452955,0.0,-3.4028235e+38,0.4622491,5.0,2.2703328,0.17329161,False
1,77495.0,75075.0,0,75.0,26.0,290.7809,296.0,125.537674,6.1373796,308.1499,0.0,0.0,10.0,115.0,5.2360153,0.0,-3.4028235e+38,0.54171854,5.0,2.3940206,0.21690165,False
1,77495.0,75055.0,0,75.0,26.0,290.7809,295.0,119.0546,7.333392,301.72076,0.0,0.0,20.0,612.0,5.2360153,0.0,-3.4028235e+38,0.7028454,5.0,2.423288,0.2047277,False
1,77495.0,76365.0,0,35.0,24.0,289.3218,258.0,260.2176,20.195969,256.5424,0.0,0.0,20.0,620.0,5.2902765,0.0,-3.4028235e+38,0.35000926,5.0,2.1748679,0.22339335,False
1,77495.0,75045.0,0,75.0,26.0,290.7809,295.0,98.130104,10.024988,305.0202,0.0,0.0,20.0,612.0,5.2351856,0.0,-3.4028235e+38,0.55162907,5.0,2.423288,0.2105089,False
1,77495.0,75795.0,0,75.0,15.0,288.92804,282.0,254.74489,29.686932,285.19348,0.0,75.0,70.0,313.0,5.289845,0.0,-3.4028235e+38,0.75759405,5.0,2.2431026,0.17544565,False
1,77495.0,75385.0,0,75.0,20.0,290.7137,256.0,62.354023,16.506227,256.94272,0.0,0.0,20.0,612.0,5.2381034,0.0,-3.4028235e+38,0.36474872,5.0,2.355902,0.2117445,False
